# name: E615.pi.dQ
# comment: E615 pi-data Q-differential
# reference: Phys.Rev.D 39 (1989) 92-122
# processType: DY
# isNormalized: False
# normalizationMethod: integral
# normErr: 0.16
id,ps_def,h_1,h_2,proc_id,s,Q_min,Q_max,y_min,y_max,qT_min,qT_max,thFactor,includeCuts,xSec,uncorrErr_0,Q_avg,y_avg,qT_avg,cutParams_0,cutParams_1,cutParams_2,cutParams_3
E615.pi.dQ.0,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,0.0,0.25,0.001,False,0.02766,0.00095,4.275,0.5,0.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.1,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,0.25,0.5,0.001,False,0.06735,0.0015,4.275,0.5,0.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.2,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,0.5,0.75,0.001,False,0.08469,0.00175,4.275,0.5,0.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.3,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,0.75,1.0,0.001,False,0.09042,0.00191,4.275,0.5,0.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.4,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,1.0,1.25,0.001,False,0.07656,0.0018,4.275,0.5,1.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.5,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,1.25,1.5,0.001,False,0.06231,0.0017,4.275,0.5,1.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.6,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,1.5,1.75,0.001,False,0.0469,0.00158,4.275,0.5,1.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.7,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,1.75,2.0,0.001,False,0.02834,0.00127,4.275,0.5,1.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.8,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,2.0,2.25,0.001,False,0.0175,0.00105,4.275,0.5,2.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.9,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,2.25,2.5,0.001,False,0.01226,0.00098,4.275,0.5,2.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.10,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,2.5,2.75,0.001,False,0.007696,0.000781,4.275,0.5,2.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.11,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,2.75,3.0,0.001,False,0.003107,0.000504,4.275,0.5,2.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.12,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,3.0,3.25,0.001,False,0.002561,0.000512,4.275,0.5,3.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.13,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,3.25,3.5,0.001,False,0.0008958,0.0002986,4.275,0.5,3.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.14,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,3.5,3.75,0.001,False,0.001639,0.000473,4.275,0.5,3.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.15,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,3.75,4.0,0.001,False,0.0009833,0.0003477,4.275,0.5,3.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.16,2,2,184074,1,473.6,4.05,4.5,0.0,1.0,4.0,4.25,0.001,False,0.0001829,0.0001293,4.275,0.5,4.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.17,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,0.0,0.25,0.001,False,0.01539,0.00073,4.725,0.5,0.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.18,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,0.25,0.5,0.001,False,0.04008,0.00122,4.725,0.5,0.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.19,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,0.5,0.75,0.001,False,0.05001,0.0014,4.725,0.5,0.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.20,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,0.75,1.0,0.001,False,0.05094,0.00146,4.725,0.5,0.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.21,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,1.0,1.25,0.001,False,0.04561,0.00141,4.725,0.5,1.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.22,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,1.25,1.5,0.001,False,0.04006,0.00141,4.725,0.5,1.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.23,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,1.5,1.75,0.001,False,0.02727,0.0012,4.725,0.5,1.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.24,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,1.75,2.0,0.001,False,0.0189,0.00107,4.725,0.5,1.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.25,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,2.0,2.25,0.001,False,0.01245,0.0009,4.725,0.5,2.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.26,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,2.25,2.5,0.001,False,0.007207,0.0007,4.725,0.5,2.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.27,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,2.5,2.75,0.001,False,0.004876,0.000629,4.725,0.5,2.625,0.0,0.0,-100.0,100.0
E615.pi.dQ.28,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,2.75,3.0,0.001,False,0.002967,0.000516,4.725,0.5,2.875,0.0,0.0,-100.0,100.0
E615.pi.dQ.29,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,3.0,3.25,0.001,False,0.001301,0.000348,4.725,0.5,3.125,0.0,0.0,-100.0,100.0
E615.pi.dQ.30,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,3.25,3.5,0.001,False,0.0009393,0.0002832,4.725,0.5,3.375,0.0,0.0,-100.0,100.0
E615.pi.dQ.31,2,2,184074,1,473.6,4.5,4.95,0.0,1.0,3.5,3.75,0.001,False,0.0002236,0.0001581,4.725,0.5,3.625,0.0,0.0,-100.0,100.0
