# name: RSS-2008_d2
# comment: Taken from table II
# reference: arxiv:0812:0031
# processType: D2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1
RSS-2008_d2.0,1,1,100,11.666844,0.631370849898476,1.631370849898476,1.131370849898476,1.0,0.0104,0.0004,0.0013
RSS-2008_d2.1,1,1,102,11.666844,0.631370849898476,1.631370849898476,1.131370849898476,1.0,0.0027,0.0008,0.0017
RSS-2008_d2.2,1,1,101,11.666844,0.631370849898476,1.631370849898476,1.131370849898476,1.0,-0.0075,0.0021,0.0
