# name: RQCD_d2_ud
# comment: Taken from table 4 for u and d quarks
# reference: arXiv:2111.08306
# processType: D2
# isNormalized: False
# normalizationMethod: integral
# normErr: 
id,ps_def,h_1,proc_id,s,Q_min,Q_max,Q_avg,thFactor,xSec,uncorrErr_0,uncorrErr_1
RQCD_d2_ud.0,1,1,2,4.0,1.95,2.05,2.0,2.0,0.026,0.004,0.013
RQCD_d2_ud.1,1,1,1,4.0,1.95,2.05,2.0,2.0,-0.0086,0.0026,0.0146
